"","symbol","date","open","high","low","close","volume","adjusted"
"90","NKE",2020-11-05,129.190002,130.410004,128.460007,129.699997,3940000,129.439575
"91","NKE",2020-11-06,129.910004,129.910004,128.350006,128.899994,2954000,128.641174
"92","NKE",2020-11-09,135.059998,136.350006,128.770004,128.949997,7491700,128.691071
"93","NKE",2020-11-10,130.050003,130.119995,126.25,127.709999,8014700,127.453568
"94","NKE",2020-11-11,128.690002,129.800003,127.18,127.660004,6058700,127.403671
"95","NKE",2020-11-12,126.620003,127.839996,125.629997,126.639999,4780400,126.385719
"96","NKE",2020-11-13,127.910004,128.600006,126.830002,128.279999,3986100,128.02243
"97","NKE",2020-11-16,129.460007,130.320007,127.370003,130.110001,6116200,129.848755
"98","NKE",2020-11-17,130.479996,132.600006,129.110001,132.210007,7002900,131.94455
"99","NKE",2020-11-18,133.070007,133.979996,131.529999,131.630005,5572800,131.365707
"100","NKE",2020-11-19,131.919998,132.110001,129.929993,131.910004,4642800,131.645142
"101","NKE",2020-11-20,133.300003,133.529999,131.910004,132.979996,4318100,132.712982
"102","NKE",2020-11-23,134.380005,134.889999,133.089996,134.130005,6118400,133.860687
"103","NKE",2020-11-24,135,135.990005,134.210007,134.699997,7204700,134.429535
"104","NKE",2020-11-25,134.25,135.800003,133.619995,135.539993,4484500,135.267838
"105","NKE",2020-11-27,136,136.130005,133.339996,134.25,3506800,133.980438
"106","NKE",2020-11-30,133.910004,135.289993,132.690002,134.699997,9652500,134.429535
"107","NKE",2020-12-01,136.440002,136.5,134.75,135.440002,3834500,135.168045
"108","PG",2020-07-01,119.650002,120.389999,118.900002,119.980003,6501200,118.569275
"109","PG",2020-07-02,121,122.57,120.529999,120.879997,6150900,119.458687
"110","PG",2020-07-06,121.769997,122.410004,120.879997,121.629997,6023300,120.199867
"111","PG",2020-07-07,121.300003,123.25,120.889999,122.220001,6866300,120.782936
"112","PG",2020-07-08,122.150002,123.239998,122,122.889999,6494100,121.445053
"113","PG",2020-07-09,122.82,123.980003,121.809998,122.480003,5341000,121.039879
"114","PG",2020-07-10,122.57,124.5,122.470001,123.889999,6752600,122.433296
"115","PG",2020-07-13,124,125.589996,123.339996,124.050003,7681500,122.591423
"116","PG",2020-07-14,123.989998,125.660004,123.5,125.089996,6272100,123.619186
"117","PG",2020-07-15,125.980003,126.900002,124.260002,124.5,8145000,123.036125
"118","PG",2020-07-16,125.080002,125.519997,123.910004,124.760002,3959300,123.293068
"119","PG",2020-07-17,125.089996,126.07,124.830002,125.629997,4868600,124.152832
"120","PG",2020-07-20,125.470001,125.839996,124.790001,125.239998,4242100,123.767426
"121","PG",2020-07-21,125.489998,126.639999,124.919998,125.07,5163000,123.599419
"122","PG",2020-07-22,125.5,126.400002,124.209999,126.139999,5929200,124.656845
"123","PG",2020-07-23,126.120003,127.18,125.599998,126.160004,6664800,125.463371
"124","PG",2020-07-24,126.989998,127.769997,125.32,125.959999,6014200,125.264465
"125","PG",2020-07-27,125.709999,126.639999,125.540001,126.32,6464600,125.622482
"126","PG",2020-07-28,126.370003,128.460007,126.290001,127.879997,7644400,127.173866
"127","PG",2020-07-29,127.559998,129.240005,127.360001,128.309998,6702000,127.601494
"128","PG",2020-07-30,130.660004,132.029999,129.649994,131.419998,10400700,130.694321
"129","PG",2020-07-31,130.660004,131.210007,129.270004,131.119995,8487800,130.395966
"130","PG",2020-08-03,130.470001,131.919998,130.470001,131.289993,7769400,130.565033
"131","PG",2020-08-04,130.770004,133.929993,130.699997,133.789993,7773700,133.051224
"132","PG",2020-08-05,133.589996,134.649994,133.119995,133.440002,5680000,132.703171
"133","PG",2020-08-06,132.850006,133.369995,132.119995,132.710007,3974100,131.977203
"134","PG",2020-08-07,132.889999,133.639999,132.449997,133.550003,4934100,132.812561
"135","PG",2020-08-10,133.699997,134.440002,133.190002,134.100006,5812700,133.359528
"136","PG",2020-08-11,134.270004,134.740005,132.789993,133.229996,5329900,132.494324
"137","PG",2020-08-12,133.770004,135.970001,133.699997,135.460007,5920400,134.712021
"138","PG",2020-08-13,135.080002,135.869995,134.929993,135.779999,4989500,135.030243
"139","PG",2020-08-14,135.610001,135.639999,134.550003,135.100006,5845200,134.354004
"140","PG",2020-08-17,134.940002,135.699997,134.660004,135.5,5603800,134.751785
"141","PG",2020-08-18,135.809998,137.520004,135.419998,136.509995,8670700,135.75621
"142","PG",2020-08-19,135.539993,136.320007,135.5,135.770004,6827700,135.020309
"143","PG",2020-08-20,135.240005,136.979996,135.190002,136.850006,4352200,136.094345
"144","PG",2020-08-21,136.600006,138.100006,135.910004,137.440002,5706600,136.681076
"145","PG",2020-08-24,137.490005,138.779999,137.199997,138.509995,7420500,137.745163
"146","PG",2020-08-25,139,139.149994,137.800003,139.059998,4718300,138.29213
"147","PG",2020-08-26,138.570007,139.320007,138.25,138.389999,4746200,137.625839
"148","PG",2020-08-27,138.839996,139.690002,138.179993,138.210007,6156100,137.446838
"149","PG",2020-08-28,138.320007,138.910004,136.949997,138.770004,4166300,138.003738
"150","PG",2020-08-31,138.190002,138.729996,137.820007,138.330002,5596800,137.566162
"151","PG",2020-09-01,137.860001,138.220001,137.070007,138.179993,5672300,137.416992
"152","PG",2020-09-02,138.110001,141.440002,137.610001,140.509995,8384800,139.734116
"153","PG",2020-09-03,140.740005,141.699997,137.089996,138.259995,7277900,137.496552
"154","PG",2020-09-04,137.809998,139.190002,136.119995,137.960007,7437700,137.198212
"155","PG",2020-09-08,138.520004,138.639999,135.039993,135.940002,6847500,135.189362
"156","PG",2020-09-09,136.419998,139.559998,136.270004,138.149994,6002900,137.387146
"157","PG",2020-09-10,138.119995,138.720001,136.509995,136.699997,5242500,135.94516
"158","PG",2020-09-11,137.690002,138.660004,137.160004,138.139999,4398000,137.377213
"159","PG",2020-09-14,138.440002,139.580002,138.330002,138.630005,4767400,137.864517
"160","PG",2020-09-15,138.789993,139.770004,138.389999,138.630005,4046500,137.864517
"161","PG",2020-09-16,139.570007,140.169998,137.600006,137.699997,6049900,136.939636
